Dept,Course,Section,Author,Title,ISBN,Edition,YR,Status,Instructor,Campus,Price
ENGL,113W,D900,ANDERSON,GRAND BUDAPEST HOTEL : ILLUSTR,978-1-62316-051-7,1,14,RQ,ST PIERRE,SUR,$22.00
ENGL,113W,D100,SHAKESPEARE,MUCH ADO ABOUT NOTHING (ED MOW,978-0-7434-8275-2,1,95,RQ,SOLOMON,BUR,$6.99
ENGL,113W,D900,WILDER,SUNSET BOULEVARD,978-0-520-21855-0,1,99,RQ,ST PIERRE,SUR,$49.00
ENGL,115W,FIC 01-02,HUXLEY,BRAVE NEW WORLD (WITH PS INSIG,978-0-06-085052-4,1,7,RQ,ZILLWOOD,BUR,$18.50
ENGL,115W,FIC 01-02,ADAMS,BRAVE NEW WORLDS,978-1-59780-454-7,1,12,RQ,ZILLWOOD,BUR,$18.50
ENGL,115W,D100,MCINERNEY,"BRIGHT LIGHTS, BIG CITY",978-0-394-72641-0,1,84,RQ,DERKSEN,BUR,$18.95
ENGL,115W,FIC 01-02,JAMES,CHILDREN OF MEN,978-0-676-97769-1,1,5,RQ,ZILLWOOD,BUR,$21.00
ENGL,115W,FIC 03-05,ROWELL,ELEANOR AND PARK,978-1-250-01257-9,1,13,RQ,KINGTON,BUR,$21.99
ENGL,115W,FIC 06-07,COLLINS,HUNGER GAMES,978-0-439-02352-8,1,10,RQ,NASHLENAS,BUR,$11.99
ENGL,115W,FIC 06-07,BRADBURY,MARTIAN CHRONICLES,978-1-4516-7819-2,1,12,RQ,NASHLENAS,BUR,$9.99
ENGL,115W,FIC 03-05,ANDREWS,ME AND EARL AND THE DYING GIRL,978-1-4197-1960-8,1,15,RQ,KINGTON,BUR,$11.95
ENGL,115W,FIC 06-07,HEADRICK,METHOD FOR WRITING ESSAYS ABOU,978-0-17-650860-9,2,12,RC,NASHLENAS,BUR,$44.00
ENGL,115W,FIC 01-02,ORWELL,NINETEEN EIGHTY FOUR,978-0-14-103614-4,1,8,RQ,ZILLWOOD,BUR,$10.99
ENGL,115W,FIC 06-07,ORWELL,NINETEEN EIGHTY FOUR,978-0-14-103614-4,1,8,RQ,NASHLENAS,BUR,$10.99
ENGL,115W,D100,GIBSON,PATTERN RECOGNITION (RACK SIZE,978-0-425-19868-1,1,3,RQ,DERKSEN,BUR,$8.99
ENGL,115W,FIC 03-05,SHAKESPEARE,ROMEO & JULIET (ED LEVENSON),978-0-19-953589-7,1,8,RQ,KINGTON,BUR,$10.95
ENGL,115W,FIC 03-05,SHAKESPEARE,ROMEO AND JULIET : GRAPHIC NOV,978-93-800-2858-3,1,12,RQ,KINGTON,BUR,$10.99
ENGL,115W,FIC 03-05,BACIGALUPI,SHIP BREAKER,978-0-316-05619-9,1,11,RQ,KINGTON,BUR,$14.49
ENGL,115W,FIC 06-07,MOORE,V FOR VENDETTA,978-1-4012-0841-7,1,11,RQ,NASHLENAS,BUR,$23.99
ENGL,115W,D100,BRAND,WHAT WE ALL LONG FOR,978-0-676-97693-9,1,6,RQ,DERKSEN,BUR,$21.00
ENGL,199W,C100,GILTROW,ACADEMIC READING,978-1-55111-393-7,2,2,RQ,SMITH,BUR,$55.00
ENGL,199W,D100,GILTROW,ACADEMIC WRITING (BLUE COVER),978-1-55481-187-8,3,14,RQ,VALIQUETTE,HRB,$54.00
ENGL,199W,D200,GILTROW,ACADEMIC WRITING (BLUE COVER),978-1-55481-187-8,3,14,RQ,VALIQUETTE,BUR,$54.00
ENGL,199W,C100,GILTROW,ACADEMIC WRITING (WHITE COVER),978-1-55111-395-1,3,2,RQ,SMITH,BUR,$62.00
ENGL,199W,E100,GILTROW,ACADEMIC WRITING (WHITE COVER),978-1-55111-395-1,3,2,RQ,MACKENZIE,BUR,$62.00
ENGL,199W,J100,MESSENGER,CANADIAN WRITERS HANDBOOK ESSE,978-0-19-543039-4,1,12,RC,WISNIEWSKI,HRB,$38.00
ENGL,199W,J100,BRAUNSTEIN,IMAGINE NATION,978-0-415-93040-6,1,1,RQ,WISNIEWSKI,HRB,$72.00
ENGL,199W,J100,MORENBERG,WRITER'S OPTIONS,978-0-205-53316-9,8,7,RQ,WISNIEWSKI,HRB,$124.00
ENGL,404W,D100,CHAUCER,TROILUS & CRISEYDE (ED BARNEY),978-0-393-92755-9,1,6,RQ,COLEY,BUR,$32.00
ENGL,404W,D100,SHAKESPEARE,TROILUS AND CRESSIDA : THIRD S,978-1-4725-8474-8,2,15,RQ,COLEY,BUR,$28.00
ENGL,427W,E100,WINKFIELD,FEMALE AMERICAN OR ADV OF UNCA,978-1-55481-096-3,2,14,RQ,DAVIS,BUR,$21.00
ENGL,427W,E100,EQUIANO,OLAUDAH EQUIANO (ED COSTANZO),978-1-55111-262-6,1,1,RQ,DAVIS,BUR,$17.00
ENGL,436W,D100,MORRISON,CHILD OF THE JAGO,978-1-55111-985-4,1,14,RQ,LESJAK,BUR,$17.00
ENGL,436W,D100,ZOLA,LADIES PARADISE,978-0-520-07867-3,1,92,RQ,LESJAK,BUR,$58.00
ENGL,436W,D100,WOOLF,MRS DALLOWAY (TRADE ED),978-0-15-662870-9,1,90,RQ,LESJAK,BUR,$18.95
ENGL,436W,D100,DREISER,SISTER CARRIE,978-0-486-43468-1,1,4,RQ,LESJAK,BUR,$7.00
ENGL,438W,D100,POUND,PERSONAE (REV),978-0-8112-1138-3,2,90,RQ,GRIEVE,BUR,$26.00
ENGL,438W,D100,STEIN,TENDER BUTTONS,978-0-486-29897-9,1,97,RQ,GRIEVE,BUR,$8.00
ENGL,438W,D100,WOOLF,TO THE LIGHTHOUSE (TRADE ED),978-0-15-690739-2,1,1,RQ,GRIEVE,BUR,$19.95
